epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,4908.27,0.78779,0.40498,1.01351,0.96388,0.8275,0.87547,0.77798,0.59137,0.31597,0.81128,0.00538,0.00538,0.00538
72,4977.99,0.78398,0.40227,1.00738,0.96527,0.82276,0.87548,0.78282,0.58777,0.31872,0.80694,0.005314,0.005314,0.005314
73,5047.7,0.78331,0.40091,1.01253,0.95506,0.81921,0.86798,0.77287,0.59387,0.32166,0.81194,0.005248,0.005248,0.005248
74,5117.39,0.7805,0.39947,1.00728,0.96864,0.82389,0.87649,0.78205,0.5844,0.31895,0.80507,0.005182,0.005182,0.005182
75,5187.06,0.77398,0.39599,1.00319,0.96321,0.82259,0.87893,0.78833,0.57873,0.31173,0.80085,0.005116,0.005116,0.005116
76,5255.72,0.78288,0.40292,1.00666,0.96081,0.82839,0.87735,0.78426,0.64188,0.31406,0.80591,0.00505,0.00505,0.00505
77,5324.34,0.78248,0.40329,1.00781,0.95834,0.83187,0.87663,0.78141,0.58595,0.30814,0.80438,0.004984,0.004984,0.004984
78,5393.31,0.77219,0.39914,1.00728,0.95737,0.83106,0.87341,0.77797,0.6017,0.31705,0.80624,0.004918,0.004918,0.004918
79,5462.09,0.77011,0.39562,1.00034,0.9621,0.82766,0.88058,0.78847,0.5783,0.31071,0.80141,0.004852,0.004852,0.004852
80,5531.79,0.76599,0.39105,0.99598,0.95876,0.8364,0.87542,0.777,0.61199,0.31522,0.80431,0.004786,0.004786,0.004786
81,5600.71,0.76694,0.38837,0.99619,0.95905,0.83286,0.88435,0.78849,0.61089,0.31255,0.80328,0.00472,0.00472,0.00472
82,5670.18,0.74658,0.38162,0.99203,0.96113,0.82928,0.8816,0.79202,0.5926,0.30483,0.80175,0.004654,0.004654,0.004654
83,5739.08,0.75757,0.38888,0.99616,0.96066,0.82928,0.87931,0.78794,0.58428,0.31264,0.79983,0.004588,0.004588,0.004588
84,5808.76,0.75967,0.38487,0.99808,0.9609,0.83044,0.88141,0.7906,0.59537,0.30297,0.80256,0.004522,0.004522,0.004522
85,5878.39,0.76185,0.385,0.99348,0.95954,0.83047,0.88216,0.79293,0.5697,0.29848,0.80172,0.004456,0.004456,0.004456
86,5947.99,0.74049,0.37727,0.98381,0.95755,0.82899,0.87856,0.78707,0.57422,0.30481,0.79717,0.00439,0.00439,0.00439
87,6016.54,0.74619,0.37765,0.98586,0.9645,0.8275,0.8789,0.78736,0.57515,0.31785,0.79548,0.004324,0.004324,0.004324
88,6085.03,0.74262,0.37702,0.99192,0.95719,0.83225,0.88068,0.79156,0.57042,0.31106,0.79697,0.004258,0.004258,0.004258
89,6154.62,0.74258,0.3781,0.98812,0.96356,0.83083,0.88223,0.7941,0.58734,0.30926,0.79716,0.004192,0.004192,0.004192
90,6224.33,0.74281,0.37292,0.99316,0.95384,0.83289,0.87739,0.79228,0.59206,0.31355,0.80614,0.004126,0.004126,0.004126
